feature,importance
saturation_std,0.2628351825788799
saturation_mean,0.21328483431394102
hue_mean,0.18643378465531726
hue_std,0.13643518092485496
edge_density,0.07310420283041083
contrast,0.0467616808829339
texture_contrast,0.02656641285037902
brightness_std,0.025136796360062073
texture_homogeneity,0.0109362653031931
vertical_symmetry,0.005084758180620403
mean_brightness,0.004987224954536343
center_brightness,0.0029642138317209858
horizontal_symmetry,0.0022227366621554233
high_key_ratio,0.0020932353704878736
dark_regions_count,0.0007884862739120804
low_key_ratio,0.0003650040265948468
bright_regions_count,0.0
